No,Name,Rare,Fire,Water,Wind,Rock,Thunder,Attack,Speed,MP,Explain
1,ムカムカ鳥の爪,0,0,0,0,0,0,20,0,0,ムカムカ鳥の爪。
2,エネル草,0,0,0,5,0,0,-10,10,10,魔力が抽出できる不思議な草。
3,カルガル石,0,0,0,0,0,0,0,20,0,魔法が軽々放てるようになる不思議な石。
4,チャッカ胞子,0,20,0,0,0,0,10,0,0,チャッカ花から出た胞子。
5,パワーウォーター,0,0,20,0,0,0,10,0,0,不思議な水。
6,小竜巻,0,0,0,20,0,0,0,10,0,竜巻の通った痕跡として残る小さな風。
7,ゴブリンの角,1,0,0,0,0,0,30,20,0,ゴブリンの角。ぼこぼこしている。
8,エネル鉱石,1,0,0,0,5,0,20,0,20,魔力が固まってできた鉱石。
9,ガンバルーダの羽,1,0,0,0,0,0,10,40,0,ガンバルーダの羽。
10,ドラゴンの火の粉,1,30,0,0,0,0,30,0,0,ドラゴンが出した火花。ずっと赤く燃えている。
11,人魚の耳飾り,1,0,30,0,0,0,0,30,0,人魚が身に着けている耳飾り。
12,妖精の弓矢,1,0,0,30,0,0,20,10,0,風の妖精が使っている弓矢。
13,ビリビリ草,1,0,0,0,0,20,0,20,0,触るとビリビリする不思議な草。
14,ロックフラワー,1,0,0,0,20,0,20,0,0,岩のように固い花びらを持つ花。
15,スケルトンの骨,2,0,0,0,0,0,110,-10,0,スケルトンから落ちた骨。骨密度がとても高い。
16,エネルオーブ,2,0,0,0,0,10,10,0,30,エネルギーが詰まったオーブ。ビリビリする。
17,イソイソポーション,2,0,0,0,0,0,0,100,0,これをかけるとどんな生き物、物体も早くなる不思議な液体。
18,カチコチマグマ鉱石,2,50,0,0,30,0,70,-20,0,とあるモンスターに付着している鉱石。触ると暑い。
19,ウォータールーン,2,0,50,0,20,0,30,50,0,古代人が水の魔力を固めて作ったルーン。
20,風魔石,2,0,0,50,20,0,-10,70,0,風の魔力が込められた石。
21,黒淵岩,2,0,0,0,50,0,70,5,0,とても固い岩。
22,雷の矢,2,0,0,0,0,60,50,10,5,ミノタウロスが使う矢。
23,ミノタウロスの角,3,0,0,0,0,0,160,-10,0,とても大きな角。鋭くてかたい。
24,エネルギーコア,3,0,0,0,0,0,0,-10,60,量産ゴーレムに搭載されている機械。
25,ワイバーンの翼,3,0,0,0,0,0,50,100,0,ワイバーンの翼。
26,不死鳥の羽,3,70,0,20,0,0,50,60,0,とある不死鳥が落とした羽。
27,クラーケンの足,3,0,70,20,0,0,70,40,0,クラーケンから切り落とした足。
28,トレントの原木,3,0,0,70,15,0,30,80,0,木の精霊が落とした原木。
29,岩土竜の鱗,3,0,0,0,90,0,100,-20,0,岩のように固い体を持つ竜の鱗。
30,キマイラの毛皮,3,0,0,20,0,60,50,55,0,雷を帯びたキマイラの毛皮。
31,デュラハンの鎧,4,0,0,0,0,0,150,100,0,デュラハンが身に着けていた鎧の一部。
32,エターナルコア,4,0,0,0,0,0,0,0,100,出自不明の謎の半永久機関。
33,古代式加速装置,4,0,0,0,0,0,50,200,0,使うと超スピードが得られる不思議な機械。
34,イフリートソウル,4,120,0,0,20,0,180,20,0,イフリートの体に入っていた魔力の核。
35,セイレーンの涙,4,0,120,30,0,0,-40,220,20,セイレーンがこぼした涙。強力な魔力が込められている。
36,大天狗のうちわ,4,0,0,120,0,0,-50,250,0,大天狗が持っている強風を起こせるうちわ。
37,エレキリザードの魂,4,0,0,0,100,0,70,100,20,エレキリザードの長が死んだとき落とす魂の核。
38,古代ゴーレムの破片,4,0,0,0,0,100,200,-40,40,古代遺跡にいるゴーレムが落とす石。
39,ナンデモアリ石A,4,200,200,200,0,0,200,200,100,テスト用の素材その１。
40,ナンデモアリ石B,4,0,0,0,200,200,200,200,100,テスト用の素材その２。
